"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L836","PartState","org.eclipse.sed.ifl.control.monitor.PartState","L601","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\monitor\PartState.java","3","1","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","9","7","0","7","0","0","7","0","0","0","0","7","0","0","9","9","7","0","7","0","0","7","0","0","0","0","7","0","0","0","0","8","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","5"
"L1010","SortingArg","org.eclipse.sed.ifl.control.score.SortingArg","L850","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\SortingArg.java","3","1","15","2","0","0","0","0","0","0","0","0","1","0","0","2","0","7","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","10","13","10","0","10","0","2","9","2","1","2","2","9","2","1","10","13","10","0","10","0","2","9","2","1","2","2","9","2","1","0","0","13","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","6"
"L2806","OptionKind","org.eclipse.sed.ifl.ide.gui.icon.OptionKind","L2799","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\icon\OptionKind.java","3","1","22","2","0","0","0","0","0","0","0","0","0","0","0","2","1","3","1","0","2","0","0","0","0","0","2","0","0","1","1","0","0","1","17","20","8","1","8","1","2","7","1","0","2","2","7","1","0","17","20","8","1","8","1","2","7","1","0","2","2","7","1","0","0","0","12","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","5"
"L2828","ScoreStatus","org.eclipse.sed.ifl.ide.gui.icon.ScoreStatus","L2799","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\icon\ScoreStatus.java","3","1","16","2","0","0","0","0","0","0","0","0","0","0","0","2","1","4","2","0","2","0","0","0","0","0","2","0","0","1","1","0","0","1","11","14","5","1","5","1","2","4","1","0","2","2","4","1","0","11","14","5","1","5","1","2","4","1","0","2","2","4","1","0","0","0","11","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4"
"L1374","SideEffect","org.eclipse.sed.ifl.model.user.interaction.SideEffect","L3872","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\user\interaction\SideEffect.java","3","1","15","2","0","0","0","0","0","0","0","0","1","0","0","2","0","4","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","10","13","3","0","3","0","2","2","1","0","2","2","2","1","0","10","13","3","0","3","0","2","2","1","0","2","2","2","1","0","0","0","11","0","2","0","0","1","0","0","0","0","7","0","0","0","0","1","0","0","4"
"L1836","CodeEntityAccessor$Natures","org.eclipse.sed.ifl.ide.accessor.source.CodeEntityAccessor$Natures","L1577","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\accessor\source\CodeEntityAccessor.java","44","2","56","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","10","13","2","1","2","1","2","1","1","0","2","2","1","1","0","10","13","2","1","2","1","2","1","1","0","2","2","1","1","0","0","0","11","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4"
"L3458","ModeEvent$State","org.eclipse.sed.ifl.model.monitor.event.ModeEvent$State","L769","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\monitor\event\ModeEvent.java","7","2","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","3","0","3","0","0","3","0","0","0","0","3","0","0","3","3","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
