"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\.columbus_java\iFL4Eclipse.ljsi","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\.columbus_java\iFL4Eclipse.ljsi","0.0761722","29","156","464.667","2.40906","73","0.064813","0.0739762","0.147977","676","560","0.154278","0.0665779","0.0808645","666","50","701","7570","10430","516","185","59","7","138","171","21","847","3019","46","121","7","21","48","724","74","0","26","3013","116","758","80","443","269","42","35","20","11","0","0"
"L102","<System>","<System>","0.0761722","29","156","464.667","2.40906","73","0.064813","0.0739762","0.147977","676","560","0.154278","0.0665779","0.0808645","666","50","701","7570","10430","516","185","59","7","138","171","21","847","3019","46","121","7","21","48","724","74","0","26","3013","116","758","80","443","269","42","35","20","11","0","0"
