"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L196","MethodScoreHandler$ScoreUpdateArgs","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler$ScoreUpdateArgs","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","33","2","48","3","0","0","0","0","0","0","0","0","0","0","0","3","3","3","1","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","15","16","2","2","2","2","3","0","3","0","3","5","0","3","0","15","16","2","2","2","2","3","0","3","0","3","5","0","3","0","0","0","9","0","2","0","0","0","0","0","0","2","9","0","0","0","0","0","0","0","0"
"L791","PartMonitorControl$1","org.eclipse.sed.ifl.control.monitor.PartMonitorControl$1","L755","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\monitor\PartMonitorControl.java","21","66","79","3","0","0","0","0","0","0","0","0","8","0","0","8","3","0","0","1","9","0","0","0","0","0","9","0","0","0","0","0","0","0","33","59","0","0","0","0","8","0","8","0","8","7","0","8","0","33","59","0","0","0","0","8","0","8","0","8","7","0","8","0","0","0","20","0","1","0","0","0","1","0","0","0","19","1","0","0","0","0","0","0","0"
"L866","ContextSizeFilter","org.eclipse.sed.ifl.control.score.filter.ContextSizeFilter","L858","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\filter\ContextSizeFilter.java","8","1","49","2","0","0","0","0","0","0","0","0","1","1","1","9","3","1","0","2","6","0","0","0","0","0","4","0","0","1","1","0","0","1","35","42","3","0","2","0","4","0","3","2","9","16","0","8","3","35","42","3","0","2","0","4","0","3","2","9","16","0","8","3","0","0","11","1","2","1","0","2","0","0","0","0","11","0","0","0","0","0","0","0","0"
"L896","FilterControl","org.eclipse.sed.ifl.control.score.filter.FilterControl","L858","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\filter\FilterControl.java","12","1","128","2","0","0","0","0","0","0","0","0","9","0","0","16","8","1","4","18","34","0","0","0","0","0","16","0","0","4","5","0","0","1","82","117","19","3","16","0","16","0","15","2","24","32","0","19","4","82","117","19","3","16","0","16","0","15","2","24","32","0","19","4","0","0","40","0","32","0","0","16","1","0","1","16","35","0","0","0","0","0","0","0","3"
"L1026","HideUndefinedFilter","org.eclipse.sed.ifl.control.score.filter.HideUndefinedFilter","L858","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\filter\HideUndefinedFilter.java","8","1","19","2","0","0","0","0","0","0","0","0","1","0","0","2","4","1","0","2","4","0","0","0","0","0","3","0","0","1","1","0","0","1","9","12","1","0","0","0","2","0","2","0","7","2","0","6","1","9","12","1","0","0","0","2","0","2","0","7","2","0","6","1","0","0","7","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0"
"L1035","LessOrEqualFilter","org.eclipse.sed.ifl.control.score.filter.LessOrEqualFilter","L858","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\filter\LessOrEqualFilter.java","8","1","42","2","0","0","0","0","0","0","0","0","1","1","1","8","4","1","0","3","7","0","0.037037","1","0","0","4","0.037037","1","1","1","0","0","1","26","35","3","0","2","0","4","0","3","2","9","10","0","8","3","26","35","3","0","2","0","4","0","3","2","9","10","0","8","3","0","0","11","1","3","1","0","2","0","0","0","0","11","0","0","0","0","1","0","0","0"
"L1050","NameFilter","org.eclipse.sed.ifl.control.score.filter.NameFilter","L858","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\filter\NameFilter.java","8","1","28","2","0","0","0","0","0","0","0","0","1","1","1","4","4","1","0","3","6","0","0","0","0","0","3","0","0","1","1","0","0","1","16","21","2","0","1","0","3","0","2","1","8","5","0","7","2","16","21","2","0","1","0","3","0","2","1","8","5","0","7","2","0","1","9","0","1","0","0","1","0","0","0","0","9","0","1","0","0","0","0","0","0"
"L867","ScoreFilter","org.eclipse.sed.ifl.control.score.filter.ScoreFilter","L858","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\filter\ScoreFilter.java","9","1","38","2","0","0","0","0","0","0","0","0","1","1","1","7","2","5","5","0","6","0","0","0","0","0","6","0","0","0","0","4","4","0","24","30","1","0","1","0","6","0","5","1","6","7","0","5","1","24","30","1","0","1","0","6","0","5","1","6","7","0","5","1","0","0","15","0","1","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0"
"L1448","ScoreLoaderControl$Entry","org.eclipse.sed.ifl.control.score.ScoreLoaderControl$Entry","L1429","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\ScoreLoaderControl.java","40","2","63","3","0","0","0","0","0","0","0","0","1","0","0","4","0","2","2","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","20","24","3","2","3","2","4","0","4","0","4","7","0","4","0","20","24","3","2","3","2","4","0","4","0","4","7","0","4","0","0","0","11","0","3","0","0","0","0","0","0","3","11","0","0","0","0","0","0","0","0"
"L1463","ScoreLoaderControl$1","org.eclipse.sed.ifl.control.score.ScoreLoaderControl$1","L1429","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\score\ScoreLoaderControl.java","65","75","115","3","0","0","0","0","0","0","0","0","1","3","3","8","5","0","0","3","4","0","0","0","0","0","2","0","0","1","1","0","0","1","49","51","0","0","0","0","1","0","1","0","1","25","0","1","0","49","51","0","0","0","0","1","0","1","0","1","25","0","1","0","0","0","5","5","0","4","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
