"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L4799","void makeActions()","org.eclipse.sed.ifl.views.SampleView.makeActions()V","L4771","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\views\SampleView.java","134","2","161","3","0","0","0","0","0","0","0","0","48.1808","5.83333","1120","107.848","48","16","62.2222","192","98.5151","57.6112","66.5282","38.9054","1","0","0","1","0","0","0","0","0","0","16","17","9","0","27","28","14","0","0","17","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0"
"L4803","void hookDoubleClickAction()","org.eclipse.sed.ifl.views.SampleView.hookDoubleClickAction()V","L4771","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\views\SampleView.java","163","2","169","3","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","131.786","77.0679","114.528","66.9756","1","0","0","1","0","0","0","0","0","0","4","4","1","0","7","7","2","0","0","7","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0"
"L4823","void showMessage(String message)","org.eclipse.sed.ifl.views.SampleView.showMessage(Ljava/lang/String;)V","L4771","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\views\SampleView.java","170","2","175","3","0","0","0","0","0","0","0","0","19.6096","3.125","118.872","24.1761","12","9","6.60401","38.0391","122.823","71.8261","101.597","59.4133","1","0","0","3","0","0","0","0","0","0","6","6","1","1","6","6","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4834","void setFocus()","org.eclipse.sed.ifl.views.SampleView.setFocus()V","L4771","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\views\SampleView.java","177","2","180","3","0","0","0","0","0","0","0","0","13.6096","2.5","56.1471","14.6628","8","7","3.11928","22.4588","132.131","77.2698","115.026","67.2667","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L161","MethodScoreHandler(IMavenExecutor executor)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.<init>(Lorg/eclipse/sed/ifl/bi/faced/execution/IMavenExecutor;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","18","2","19","3","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","145.285","84.9622","134.003","78.3646","1","0","0","1","0","0","0","0","0","0","2","2","0","1","2","2","0","0","0","2","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"L167","void init(Iterable<IMethodDescription> initialMethods)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.init(Ljava/lang/Iterable;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","21","2","21","73","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","154.244","90.2012","146.928","85.9229","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L178","void updateScore(IUserFeedback feedback)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.updateScore(Lorg/eclipse/sed/ifl/model/user/interaction/IUserFeedback;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","23","2","23","59","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","156.514","91.5289","150.203","87.8383","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L183","void updateMethod(IMethodDescription method)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.updateMethod(Lorg/eclipse/sed/ifl/model/source/IMethodDescription;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","25","2","25","63","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","156.514","91.5289","150.203","87.8383","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L185","void addMethod(IMethodDescription method)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.addMethod(Lorg/eclipse/sed/ifl/model/source/IMethodDescription;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","27","2","27","60","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","156.514","91.5289","150.203","87.8383","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L187","void removeMethod(IMethodDescription method)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.removeMethod(Lorg/eclipse/sed/ifl/model/source/IMethodDescription;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","29","2","29","63","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","156.514","91.5289","150.203","87.8383","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L189","Iterable<Option> getProvidedOptions()","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.getProvidedOptions()Ljava/lang/Iterable;","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","31","2","31","56","0","0","0","0","0","0","0","0","11.6096","2.5","38.7744","11.4559","6","6","2.15414","15.5098","156.514","91.5289","150.203","87.8383","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L215","INonGenericListenerCollection<ScoreUpdateArgs> eventScoreUpdated()","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.eventScoreUpdated()Lorg/eclipse/sed/ifl/util/event/INonGenericListenerCollection;","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","52","2","54","3","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
